,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Ticker,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Date,,,,,,,,,,,,,,,,,,,,
2024-09-13,222.01136779785156,428.869873046875,157.27975463867188,186.49000549316406,119.09178924560547,523.6975708007812,230.2899932861328,70.0999984741211,536.8699951171875,49.08779525756836,152.30999755859375,19.65999984741211,697.0599975585938,67.58999633789062,68.27999877929688,187.59571838378906,166.85716247558594,814.4695434570312,166.69363403320312,45.715999603271484
2024-09-16,215.84495544433594,429.61688232421875,157.87905883789062,184.88999938964844,116.7719497680664,532.8502197265625,226.77999877929688,71.06999969482422,521.5,50.300209045410156,152.0800018310547,20.90999984741211,696.5,67.62000274658203,69.16999816894531,186.70985412597656,165.74298095703125,801.1803588867188,163.04544067382812,44.90999984741211
2024-09-17,216.31390380859375,433.41168212890625,159.1376190185547,186.8800048828125,115.58203125,535.8877563476562,227.8699951171875,71.7699966430664,515.030029296875,49.88621520996094,150.82000732421875,21.469999313354492,706.9099731445312,68.11000061035156,71.98999786376953,187.7151641845703,167.82211303710938,803.8242797851562,161.50465393066406,43.9379997253418
2024-09-18,220.20535278320312,429.0890197753906,159.62705993652344,186.42999267578125,113.36219024658203,537.5164184570312,227.1999969482422,73.12000274658203,508.1300048828125,49.84678649902344,148.2899932861328,20.770000457763672,690.469970703125,66.04000091552734,69.86000061035156,185.2765350341797,167.4241943359375,786.015625,160.70941162109375,43.6879997253418
2024-09-19,228.3673858642578,436.9375305175781,161.9543914794922,189.8699951171875,117.86187744140625,558.6493530273438,243.9199981689453,77.56999969482422,526.4400024414062,50.704345703125,156.74000549316406,21.139999389648438,704.3200073242188,66.91000366210938,68.0199966430664,195.79750061035156,173.0149383544922,826.2421875,166.97262573242188,43.720001220703125
2024-09-20,227.6988525390625,433.53118896484375,163.40272521972656,191.60000610351562,115.99200439453125,560.8975219726562,238.25,76.76000213623047,522.2999877929688,51.22676467895508,155.9499969482422,21.84000015258789,701.030029296875,67.52999877929688,65.69000244140625,191.26861572265625,168.0409698486328,793.4384155273438,170.64279174804688,45.72700119018555
2024-09-23,225.97265625,431.77825927734375,161.6647186279297,193.8800048828125,116.25199127197266,563.955078125,250.0,77.66999816894531,527.8699951171875,51.44361877441406,156.75,22.559999465942383,705.3699951171875,68.79000091552734,64.13999938964844,193.13987731933594,165.09637451171875,801.6393432617188,172.47787475585938,46.59400177001953
2024-09-24,226.8706817626953,427.45556640625,162.1042022705078,193.9600067138672,120.8616714477539,562.8759765625,254.27000427246094,78.33999633789062,524.0700073242188,51.76890182495117,158.32000732421875,22.809999465942383,722.260009765625,69.43000030517578,63.939998626708984,195.86717224121094,166.0812225341797,812.114990234375,174.37278747558594,46.361000061035156
2024-09-25,225.8728790283203,430.3838195800781,161.3051300048828,192.52999877929688,123.50149536132812,567.8519287109375,257.0199890136719,77.36000061035156,517.9000244140625,51.89704132080078,162.02000427246094,23.540000915527344,721.5599975585938,67.94999694824219,63.63999938964844,196.39471435546875,167.39434814453125,816.2853393554688,175.0509796142578,45.814998626708984
2024-09-26,227.02035522460938,429.5870056152344,162.543701171875,191.16000366210938,124.03145599365234,567.3823852539062,254.22000122070312,80.08000183105469,515.3800048828125,52.09417724609375,167.49000549316406,23.920000076293945,711.4299926757812,68.9000015258789,63.93000030517578,208.63766479492188,171.76150512695312,850.4660034179688,177.61410522460938,40.2400016784668
